song_title,artist,section,lyrics,album
Turbulent,Waterparks,Verse 1,You had your own Pete Wentz and Patrick combined,FANDOM
Turbulent,Waterparks,Verse 1,Writing you songs and singing them all like,FANDOM
Turbulent,Waterparks,Verse 1,Every single day,FANDOM
Turbulent,Waterparks,Verse 1,Tour brings that special pain,FANDOM
Turbulent,Waterparks,Pre-Chorus,So fuck yourself and fuck your feelings,FANDOM
Turbulent,Waterparks,Pre-Chorus,"I believe, but not in you and me, so",FANDOM
Turbulent,Waterparks,Pre-Chorus,So fuck yourself and fuck your feelings,FANDOM
Turbulent,Waterparks,Pre-Chorus,"I believe, but not in you and me, so",FANDOM
Turbulent,Waterparks,Chorus,"I'd unfuck you if I could, ooh, ooh, ooh",FANDOM
Turbulent,Waterparks,Chorus,I'd unlove you like I should have,FANDOM
Turbulent,Waterparks,Chorus,Months before I did,FANDOM
Turbulent,Waterparks,Chorus,In the months before I split,FANDOM
Turbulent,Waterparks,Chorus,"It's turbulent, turbulent",FANDOM
Turbulent,Waterparks,Chorus,"I'd unfuck you if I could, ooh, ooh, ooh",FANDOM
Turbulent,Waterparks,Chorus,I'd unlove you like I should have,FANDOM
Turbulent,Waterparks,Chorus,Months before I did,FANDOM
Turbulent,Waterparks,Chorus,In the months before I split,FANDOM
Turbulent,Waterparks,Chorus,"It's turbulent, turbulent",FANDOM
Turbulent,Waterparks,Verse 2,You had your own Awsten Knight (Hi),FANDOM
Turbulent,Waterparks,Verse 2,"He texted back fast, and he made you laugh, yeah, yeah",FANDOM
Turbulent,Waterparks,Verse 2,You must be out of your mind,FANDOM
Turbulent,Waterparks,Verse 2,"Well, I know you are",FANDOM
Turbulent,Waterparks,Verse 2,"Let's see, where to start?",FANDOM
Turbulent,Waterparks,Verse 2,How about the messages that you still send?,FANDOM
Turbulent,Waterparks,Verse 2,Even though I blocked your number,FANDOM
Turbulent,Waterparks,Verse 2,And I never fucking answer,FANDOM
Turbulent,Waterparks,Verse 2,My anxiety was turbulent and permanent,FANDOM
Turbulent,Waterparks,Verse 2,You gave me hell on Earth,FANDOM
Turbulent,Waterparks,Verse 2,And said to work with it,FANDOM
Turbulent,Waterparks,Pre-Chorus,So fuck yourself and fuck your feelings,FANDOM
Turbulent,Waterparks,Pre-Chorus,"I believe, but not in you and me, so",FANDOM
Turbulent,Waterparks,Pre-Chorus,So fuck yourself and fuck your feelings,FANDOM
Turbulent,Waterparks,Pre-Chorus,"I believe, but not in you and me, so",FANDOM
Turbulent,Waterparks,Chorus,"I'd unfuck you if I could, ooh, ooh, ooh",FANDOM
Turbulent,Waterparks,Chorus,I'd unlove you like I should have,FANDOM
Turbulent,Waterparks,Chorus,Months before I did,FANDOM
Turbulent,Waterparks,Chorus,In the months before I split,FANDOM
Turbulent,Waterparks,Chorus,"It's turbulent, turbulent",FANDOM
Turbulent,Waterparks,Chorus,"I'd unfuck you if I could, ooh, ooh, ooh",FANDOM
Turbulent,Waterparks,Chorus,I'd unlove you like I should have,FANDOM
Turbulent,Waterparks,Chorus,Months before I did,FANDOM
Turbulent,Waterparks,Chorus,In the months before I split,FANDOM
Turbulent,Waterparks,Chorus,"It's turbulent, turbulent",FANDOM
Turbulent,Waterparks,Outro,You had a taste of the life,FANDOM
Turbulent,Waterparks,Outro,But you grew complacent,FANDOM
Turbulent,Waterparks,Outro,And my sanity laced itself,FANDOM
Turbulent,Waterparks,Outro,Up in the back of your mind,FANDOM
Turbulent,Waterparks,Outro,And that's where you left me to die,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 1,"I'm sick of all this, ""How'd you get your band name?""",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 1,"""Is that your real first name?""",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 1,"""Can you text and can you follow back 'cause it's my birthday?""",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 1,"No one cares what I want, just what I've got",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 1,"And if we sit and count it up, it's really not a lot",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,So when are you gonna sing for me?,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,When are you gonna drink for me?,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,"I don't know, I don't know",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,So when are you gonna sing for me?,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,Ruinin' me completely,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,"It's true, ooh, ooh",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,I miss having sex but at least I don't wanna die anymore,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,And I think that's pretty cool,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,"I miss seeing the red on your face when I made you blush, hey",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,"But I think it's fine, it's cool",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,"But I think it's fine, it's cool",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 2,My hobbies include,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 2,Pushing away these girls that maybe really like me,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 2,Cutting people off because I don't trust exciting,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 2,But what the fuck have I done?,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 2,I'm not even an icon,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 2,But I still get death threats often,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Verse 2,So their meaning starts to soften,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,When are you gonna sing for me?,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,When are you gonna drink for me?,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,"I don't know, I don't know",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,So when are you gonna sing for me?,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,Ruinin' me completely,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Pre-Chorus,"It's true, ooh, ooh",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,I miss having sex but at least I don't wanna die anymore,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,And I think that's pretty cool,FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,"I miss seeing the red on your face when I made you blush, hey",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,"But I think it's fine, it's cool",FANDOM
I Miss Having Sex But at Least I Don't Wanna Die Anymore,Waterparks,Chorus,I miss having sex but at least I don't wanna die anymore,FANDOM
